sample_id,text,target
sms_305,"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE",1
sms_308,Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.,0
sms_311,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,0
sms_313,He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week,0
sms_316,K.k:)advance happy pongal.,0
sms_317,"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao...",0
sms_318,"Not really dude, have no friends i'm afraid :(",0
sms_319,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,1
sms_320,"Coffee cake, i guess...",0
sms_323,cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x,0
sms_328,"I'd say that's a good sign but, well, you know my track record at reading women",0
sms_329,"Cool, text me when you're parked",0
sms_333,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!,1
sms_338,Just sleeping..and surfing,0
sms_339,"Sorry, I'll call later",0
sms_340,U calling me right? Call my hand phone...,0
sms_341,Ok that's great thanx a lot.,0
sms_342,I take it the post has come then! You must have 1000s of texts now! Happy reading. My one from wiv hello caroline at the end is my favourite. Bless him,0
sms_343,Where u been hiding stranger?,0
sms_344,Am not interested to do like that.,0
sms_345,My sister cleared two round in birla soft yesterday.,0
sms_347,Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.,0
sms_348,One small prestige problem now.,0
sms_352,If you're not in my car in an hour and a half I'm going apeshit,0
sms_353,"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD",0
sms_355,&lt;#&gt; ISH MINUTES WAS 5 MINUTES AGO. WTF.,0
sms_357,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,1
sms_358,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL,1
sms_360,"Hello! Just got here, st andrews-boy its a long way! Its cold. I will keep you posted",0
sms_361,Ha ha cool cool chikku chikku:-):-DB-),0
sms_363,Check audrey's status right now,0
sms_364,Busy here. Trying to finish for new year. I am looking forward to finally meeting you...,0
sms_365,"Good afternoon sunshine! How dawns that day ? Are we refreshed and happy to be alive? Do we breathe in the air and smile ? I think of you, my love ... As always",0
sms_369,Wat uniform? In where get?,0
sms_371,"Hello my boytoy ... Geeee I miss you already and I just woke up. I wish you were here in bed with me, cuddling me. I love you ...",0
sms_373,I'm going for bath will msg you next  &lt;#&gt;  min..,0
sms_374,I cant keep talking to people if am not sure i can pay them if they agree to price. So pls tell me what you want to really buy and how much you are willing to pay,0
sms_376,Can you say what happen,0
sms_378,Well there's not a lot of things happening in Lindsay on New years *sighs* Some bars in Ptbo and the blue heron has something going,0
sms_380,I taught that Ranjith sir called me. So only i sms like that. Becaus hes verifying about project. Prabu told today so only pa dont mistake me..,0
sms_383,Hey leave it. not a big deal:-) take care.,0
sms_386,It took Mr owl 3 licks,0
sms_387,Customer place i will call you.,0
sms_389,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt,1
sms_391,Huh so late... Fr dinner?,0
sms_394,Yes i think so. I am in office but my lap is in room i think thats on for the last few days. I didnt shut that down,0
sms_399,"Good evening Sir, Al Salam Wahleykkum.sharing a happy news.By the grace of God, i got an offer from Tayseer,TISSCO and i joined.Hope you are fine.Inshah Allah,meet you sometime.Rakhesh,visitor from India.",0
sms_401,"FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone! Help? 0845 2814032 16 after 1st free, tones are 3x£150pw to e£nd txt stop",1
sms_403,The hair cream has not been shipped.,0
sms_404,None of that's happening til you get here though,0
sms_405,"Yep, the great loxahatchee xmas tree burning of  &lt;#&gt;  starts in an hour",0
sms_406,"Haha get used to driving to usf man, I know a lot of stoners",0
sms_407,All was well until slightly disastrous class this pm with my fav darlings! Hope day off ok. Coffee wld be good as can't stay late tomorrow. Same time + place as always?,0
sms_408,Hello! Good week? Fancy a drink or something later?,0
sms_409,Headin towards busetop,0
sms_410,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com,0
sms_412,Cos i want it to be your thing,0
sms_413,"Okies... I'll go yan jiu too... We can skip ard oso, go cine den go mrt one, blah blah blah...",0
sms_415,100 dating service cal;l 09064012103 box334sk38ch,1
sms_416,Whatsup there. Dont u want to sleep,0
sms_417,Alright i have a new goal now,0
sms_420,Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p,1
sms_423,Siva is in hostel aha:-.,0
sms_427,aathi..where are you dear..,0
sms_428,Any pain on urination any thing else?,0
sms_429,7 at esplanade.. Do ü mind giving me a lift cos i got no car today..,0
sms_431,At home watching tv lor.,0
sms_432,Does she usually take fifteen fucking minutes to respond to a yes or no question,0
sms_433,Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX,1
sms_437,"Ask g or iouri, I've told the story like ten times already",0
sms_438,How long does applebees fucking take,0
sms_439,"Hi hope u get this txt~journey hasnt been gd,now about 50 mins late I think.",0
sms_441,Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.,0
sms_442,You were supposed to wake ME up &gt;:(,0
sms_443,Oic... I saw him too but i tot he din c me... I found a group liao...,0
sms_444,"Sorry, I'll call later",0
sms_445,"HEY HEY WERETHE MONKEESPEOPLE SAY WE MONKEYAROUND! HOWDY GORGEOUS, HOWU DOIN? FOUNDURSELF A JOBYET SAUSAGE?LOVE JEN XXX",0
sms_446,"Sorry, my battery died, I can come by but I'm only getting a gram for now, where's your place?",0
sms_447,"Well done, blimey, exercise, yeah, i kinda remember wot that is, hmm.",0
sms_448,I wont get concentration dear you know you are my mind and everything :-),0
sms_452,Thanks for this hope you had a good day today,0
sms_453,K:)k:)what are detail you want to transfer?acc no enough?,0
sms_454,Ok i will tell her to stay out. Yeah its been tough but we are optimistic things will improve this month.,0
sms_457,"LOOK AT AMY URE A BEAUTIFUL, INTELLIGENT WOMAN AND I LIKE U A LOT. I KNOW U DONT LIKE ME LIKE THAT SO DONT WORRY.",0
sms_460,Going thru a very different feeling.wavering decisions and coping up with the same is the same individual.time will heal everything i believe.,0
sms_463,"UpgrdCentre Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9153. Offer ends 26th July. T&C's apply. Opt-out available",1
sms_464,"Sorry, I'll call later ok bye",0
sms_465,Ok i am on the way to railway,0
sms_468,When are you going to ride your bike?,0
sms_471,okmail: Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm,1
sms_474,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur Mob? Join the UK's largest Dogging Network by txting MOAN to 69888Nyt. ec2a. 31p.msg@150p,1
sms_475,Nice line said by a broken heart- Plz don't cum 1 more times infront of me... Other wise once again I ll trust U... Good 9t:),0
sms_476,Ok I'm gonna head up to usf in like fifteen minutes,0
sms_478,Tension ah?what machi?any problem?,0
sms_480,When're you guys getting back? G said you were thinking about not staying for mcr,0
sms_481,"Almost there, see u in a sec",0
sms_482,"Yo carlos, a few friends are already asking me about you, you working at all this weekend?",0
sms_483,Watching tv lor...,0
sms_485,You should change your fb to jaykwon thuglyfe falconerf,0
sms_486,If we win its really no 1 side for long time.,0
sms_489,"Depends on quality. If you want the type i sent boye, faded glory, then about 6. If you want ralphs maybe 2",0
sms_492,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",1
sms_493,"Sorry,in meeting I'll call later",0
sms_494,What class of  &lt;#&gt;  reunion?,0
sms_496,Got meh... When?,0
sms_497,Nope... Think i will go for it on monday... Sorry i replied so late,0
sms_498,Some of them told accenture is not confirm. Is it true.,0
sms_499,"Kate jackson rec center before 7ish, right?",0
sms_500,Dear i have reache room,0
sms_501,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.",0
sms_503,Check with nuerologist.,0
sms_504,Lolnice. I went from a fish to ..water.?,0
sms_505,+123 Congratulations - in this week's competition draw u have won the £1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm,1
sms_509,What's the significance?,0
sms_513,Lol ok your forgiven :),0
sms_515,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+",1
sms_517,Boltblue tones for 150p Reply POLY# or MONO# eg POLY3 1. Cha Cha Slide 2. Yeah 3. Slow Jamz 6. Toxic 8. Come With Me or STOP 4 more tones txt MORE,1
sms_518,Your credits have been topped up for http://www.bubbletext.com Your renewal Pin is tgxxrz,1
sms_520,Usually the person is unconscious that's in children but in adults they may just behave abnormally. I.ll call you now,0
sms_523,Were gonna go get some tacos,0
sms_524,"That's very rude, you on campus?",0
sms_525,"URGENT!: Your Mobile No. was awarded a £2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9755 BOX95QU",1
sms_526,Hi i won't b ard 4 christmas. But do enjoy n merry x'mas.,0
sms_527,"Today's Offer! Claim ur £150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. £3.00 Sub. 16 . Unsub reply X",1
sms_528,Yes! How is a pretty lady like you single?,0
sms_530,Jay says that you're a double-faggot,0
sms_532,What Today-sunday..sunday is holiday..so no work..,0
sms_535,"I've not called you in a while. This is hoping it was l8r malaria and that you know that we miss you guys. I miss Bani big, so pls give her my love especially. Have a great day.",0
sms_537,"Probably gonna be here for a while, see you later tonight &lt;)",0
sms_538,Or maybe my fat fingers just press all these buttons and it doesn't know what to do.,0
sms_539,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear,0
sms_543,But am going to college pa. What to do. are else ill come there it self. Pa.,0
sms_544,4 oclock at mine. Just to bash out a flat plan.,0
sms_546,Then any special there?,0
sms_548,"Sorry that took so long, omw now",0
sms_549,Wait  &lt;#&gt;  min..,0
sms_550,Ok give me 5 minutes I think I see her. BTW you're my alibi. You were cutting my hair the whole time.,0
sms_552,"Hurry up, I've been weed-deficient for like three days",0
sms_553,"Sure, if I get an acknowledgement from you that it's astoundingly tactless and generally faggy to demand a blood oath fo",0
sms_554,Ok. Every night take a warm bath drink a cup of milk and you'll see a work of magic. You still need to loose weight. Just so that you know,0
sms_555,I‘ll have a look at the frying pan in case it‘s cheap or a book perhaps. No that‘s silly a frying pan isn‘t likely to be a book,0
sms_556,O. Well uv causes mutations. Sunscreen is like essential thesedays,0
sms_558,I know that my friend already told that.,0
sms_559,Hi Princess! Thank you for the pics. You are very pretty. How are you?,0
sms_560,"Aiyo... U always c our ex one... I dunno abt mei, she haven reply... First time u reply so fast... Y so lucky not workin huh, got bao by ur sugardad ah...gee..",0
sms_562,Thanx 4 e brownie it's v nice...,0
sms_563,Geeeee ... I love you so much I can barely stand it,0
sms_564,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,1
sms_568,"So anyways, you can just go to your gym or whatever, my love *smiles* I hope your ok and having a good day babe ... I miss you so much already",0
sms_569,Love it! Daddy will make you scream with pleasure! I am going to slap your ass with my dick!,0
sms_575,Nope i waiting in sch 4 daddy...,0
sms_576,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327",1
sms_577,"I'm tired of arguing with you about this week after week. Do what you want and from now on, i'll do the same.",0
sms_578,Ü wait 4 me in sch i finish ard 5..,0
sms_579,"our mobile number has won £5000, to claim calls us back or ring the claims hot line on 09050005321.",1
sms_580,"Arngd marriage is while u r walkin unfortuntly a snake bites u. bt love marriage is dancing in frnt of d snake &amp; sayin Bite me, bite me.",0
sms_587,"I dun thk i'll quit yet... Hmmm, can go jazz ? Yogasana oso can... We can go meet em after our lessons den...",0
sms_588,Pete can you please ring meive hardly gotany credit,0
sms_589,Ya srsly better than yi tho,0
sms_591,"For ur chance to win a £250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk",1
sms_592,You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo,1
sms_593,PRIVATE! Your 2003 Account Statement for 07753741225 shows 800 un-redeemed S. I. M. points. Call 08715203677 Identifier Code: 42478 Expires 24/10/04,1
sms_594,You still at grand prix?,0
sms_595,"I met you as a stranger and choose you as my friend. As long as the world stands, our friendship never ends. Lets be Friends forever!!! Gud nitz...",0
sms_599,Will do. Was exhausted on train this morning. Too much wine and pie. You sleep well too,0
sms_601,Mind blastin.. No more Tsunamis will occur from now on.. Rajnikant stopped swimming in Indian Ocean..:-D,0
sms_603,Speaking of does he have any cash yet?,0
sms_604,Be happy there. I will come after noon,0
sms_605,Meet after lunch la...,0
sms_606,TaKe CaRE n gET WeLL sOOn,0
sms_607,XCLUSIVE@CLUBSAISAI 2MOROW 28/5 SOIREE SPECIALE ZOUK WITH NICHOLS FROM PARIS.FREE ROSES 2 ALL LADIES !!! info: 07946746291/07880867867,1
sms_608,what I meant to say is cant wait to see u again getting bored of this bridgwater banter,0
sms_610,"It's fine, imma get a drink or somethin. Want me to come find you?",0
